ID,Title,Agency,NAICS,NAICS_Description,Value_Low,Value_High,Set_Aside,Competition_Level,Why_Low_Competition,Key_Primes,Prime_Contacts,Action_Steps,Deadline_Type,Industry_Category
241,IT Staffing Services,Multiple,561320,Temporary Staffing,25000000,80000000,Small Business,Low,Cleared IT staffing expertise,"Actalent,TEKsystems,Insight Global",supplierdiversity@actalentservices.com,Contact agency CIO offices,Ongoing,IT/Cybersecurity
242,Engineering Staffing,DoD,561320,Temporary Staffing,20000000,60000000,Small Business,Low,Cleared engineering staffing,"Actalent,Yoh,Aerotek",supplierdiversity@actalentservices.com,Contact program offices,Ongoing,Engineering
243,Administrative Staffing,Multiple,561320,Temporary Staffing,15000000,45000000,Small Business,Low,Federal admin staffing expertise,"Kelly Services,Manpower,Robert Half",supplierdiversity@kellyservices.com,Contact agency HR offices,Ongoing,Professional Services
244,Scientific Staffing,Multiple,561320,Temporary Staffing,15000000,50000000,Small Business,Low,Scientific staffing expertise,"Kelly Scientific,Yoh,Aerotek",supplierdiversity@kellyservices.com,Contact research agencies,Ongoing,R&D
245,Financial Staffing,Treasury,561320,Temporary Staffing,10000000,35000000,Small Business,Low,Federal finance staffing,"Robert Half,Accounting Principals,Kforce",supplierdiversity@roberthalf.com,Contact Treasury HR,Ongoing,Professional Services
246,Legal Staffing,DOJ,561320,Temporary Staffing,10000000,35000000,Small Business,Low,Federal legal staffing,"Special Counsel,Robert Half Legal,Major Lindsey",supplierdiversity@roberthalf.com,Contact DOJ HR,Ongoing,Professional Services
247,Background Investigations,DCSA,561611,Investigation Services,30000000,100000000,Small Business,Low,Background investigation expertise,"CACI,Peraton,Keypoint Government",smallbusiness@caci.com,Contact DCSA OSDBU,Ongoing,Security
248,Security Clearance Processing,DCSA,561611,Investigation Services,20000000,70000000,Small Business,Low,Clearance processing expertise,"CACI,Peraton,GDIT",smallbusiness@caci.com,Contact DCSA adjudications,Ongoing,Security
249,Continuous Evaluation,DCSA,541512,Computer Systems Design,15000000,50000000,Small Business,Low,Continuous vetting expertise,"LexisNexis,TransUnion,Equifax",supplierdiversity@lexisnexis.com,Contact DCSA CE program,Ongoing,Security
250,Insider Threat Programs,DoD,541512,Computer Systems Design,15000000,50000000,Small Business,Low,Insider threat expertise,"Raytheon,Lockheed Martin,SAIC",small.business@raytheon.com,Contact DoD insider threat,Ongoing,Security
251,Physical Security Systems,GSA FPS,561621,Security Systems,20000000,60000000,Small Business,Low,FPS certification requirements,"Johnson Controls,Honeywell,Tyco",supplier.diversity@jci.com,Contact FPS regional offices,Ongoing,Security
252,Access Control Systems,Multiple,561621,Security Systems,15000000,50000000,Small Business,Low,FICAM compliance expertise,"HID Global,Lenel,Genetec",supplierdiversity@hidglobal.com,Contact GSA USAccess,Ongoing,Security
253,Video Surveillance,Multiple,561621,Security Systems,15000000,45000000,Small Business,Low,Federal video requirements,"Axis,Milestone,Genetec",supplierdiversity@axis.com,Contact agency security,Ongoing,Security
254,Alarm Systems,GSA,561621,Security Systems,10000000,30000000,Small Business,Low,Federal alarm certifications,"ADT,Securitas,Allied Universal",supplierdiversity@adt.com,Contact GSA PBS,Ongoing,Security
255,Locksmith Services,Multiple,561622,Locksmiths,5000000,15000000,Small Business,Low,Federal locksmith certifications,"ASSA ABLOY,Stanley Security",supplierdiversity@assaabloy.com,Contact agency facilities,Ongoing,Security
256,Emergency Management,FEMA,541611,Management Consulting,20000000,70000000,8(a),Low,8(a) with emergency management,"Deloitte,Hagerty,Witt Associates",supplierdiversity@deloitte.com,Contact FEMA OSDBU,Emergency,Professional Services
257,Continuity Planning,Multiple,541611,Management Consulting,10000000,35000000,Small Business,Low,COOP expertise limited,"Booz Allen Hamilton,GDIT,Jacobs",smallbusinesscompliance@bah.com,Contact agency COOP offices,Ongoing,Professional Services
258,Risk Assessment Services,DHS,541611,Management Consulting,15000000,50000000,Small Business,Low,Risk assessment expertise,"Deloitte,KPMG,Guidehouse",supplierdiversity@deloitte.com,Contact DHS CISA,Ongoing,Professional Services
259,Vulnerability Assessment,CISA,541512,Computer Systems Design,15000000,50000000,Small Business,Low,CISA assessment certifications,"Mandiant,CrowdStrike,Tenable",partner@mandiant.com,Contact CISA assessments,Ongoing,IT/Cybersecurity
260,Red Team Services,DoD,541512,Computer Systems Design,10000000,35000000,Small Business,Low,Red team expertise with clearances,"Booz Allen Hamilton,MITRE,SAIC",smallbusinesscompliance@bah.com,Contact DoD cyber,Ongoing,IT/Cybersecurity
261,SCADA Security,DOE,541512,Computer Systems Design,15000000,50000000,Small Business,Low,ICS/SCADA security expertise,"Dragos,Claroty,Nozomi",partner@dragos.com,Contact DOE CESER,Ongoing,IT/Cybersecurity
262,Critical Infrastructure,CISA,541512,Computer Systems Design,20000000,65000000,Small Business,Low,CI security expertise,"Leidos,SAIC,Booz Allen Hamilton",sbcomp@leidos.com,Contact CISA infrastructure,Ongoing,IT/Cybersecurity
263,Supply Chain Security,DoD,541611,Management Consulting,15000000,50000000,Small Business,Low,Supply chain risk expertise,"Deloitte,KPMG,Exiger",supplierdiversity@deloitte.com,Contact DoD supply chain,Ongoing,Professional Services
264,Counterintelligence CI,FBI,541990,Other Professional Services,15000000,50000000,Small Business,Low,CI expertise with clearances,"Booz Allen Hamilton,SAIC,Peraton",smallbusinesscompliance@bah.com,Contact FBI CI division,Ongoing,Professional Services
265,Polygraph Services,Multiple,561611,Investigation Services,5000000,15000000,Small Business,Low,Federal polygraph certifications,"Independent examiners",Contact agency security,Security clearance required,Ongoing,Security
266,Drug Testing Services,Multiple,621511,Medical Laboratories,10000000,30000000,Small Business,Low,Federal drug testing certs,"Quest Diagnostics,LabCorp,DISA",supplierdiversity@questdiagnostics.com,Contact agency HR,Ongoing,Healthcare
267,Fitness for Duty,DoD,621999,Healthcare Services,10000000,30000000,Small Business,Low,FFD program expertise,"Magellan,ComPsych,Optum",supplierdiversity@magellanhealth.com,Contact DoD FFD,Ongoing,Healthcare
268,Occupational Health,Multiple,621498,Occupational Health,15000000,45000000,Small Business,Low,Federal occupational health,"Concentra,US Healthworks,Premise Health",supplierdiversity@concentra.com,Contact agency OH programs,Ongoing,Healthcare
269,Workers Compensation,DOL,524126,Insurance Carriers,15000000,50000000,Small Business,Low,FECA expertise limited,"Conduent,Maximus,GDIT",supplierdiversity@conduent.com,Contact DOL OWCP,Ongoing,Professional Services
270,Safety Training,OSHA,611430,Professional Training,10000000,30000000,Small Business,Low,OSHA training certifications,"NSC,OSHA Training Institute",partner@nsc.org,Contact OSHA training,Ongoing,Professional Services
271,Environmental Training,EPA,611430,Professional Training,10000000,30000000,Small Business,Low,EPA training certifications,"Tetra Tech,AECOM,EnviroScience",smallbusiness@tetratech.com,Contact EPA training,Ongoing,Professional Services
272,Hazmat Training,DOT,611430,Professional Training,10000000,30000000,Small Business,Low,HAZMAT training certifications,"JJ Keller,Safety-Kleen,Clean Harbors",supplierdiversity@jjkeller.com,Contact DOT PHMSA,Ongoing,Professional Services
273,Cybersecurity Training,CISA,611420,Computer Training,15000000,45000000,Small Business,Low,Cyber training certifications,"SANS,Infosec,Cybrary",partner@sans.org,Contact CISA training,Ongoing,Professional Services
274,Leadership Development,OPM,611430,Professional Training,15000000,50000000,Small Business,Low,Federal leadership expertise,"Center for Creative Leadership,FranklinCovey",supplierdiversity@ccl.org,Contact OPM HR Solutions,Ongoing,Professional Services
275,Management Training,Multiple,611430,Professional Training,10000000,35000000,Small Business,Low,Federal management training,"Booz Allen Hamilton,Deloitte,Graduate School USA",smallbusinesscompliance@bah.com,Contact agency HR,Ongoing,Professional Services
276,Acquisition Training,FAI,611430,Professional Training,10000000,35000000,Small Business,Low,FAC certifications expertise,"Management Concepts,Graduate School USA",supplierdiversity@managementconcepts.com,Contact FAI,Ongoing,Professional Services
277,Project Management Training,Multiple,611430,Professional Training,10000000,35000000,Small Business,Low,PMP training expertise,"ESI International,PMI partners,Booz Allen Hamilton",supplierdiversity@esi-intl.com,Contact agency PMOs,Ongoing,Professional Services
278,IT Certifications Training,Multiple,611420,Computer Training,15000000,45000000,Small Business,Low,IT certification training,"Global Knowledge,New Horizons,Learning Tree",supplierdiversity@globalknowledge.com,Contact agency CIO,Ongoing,Professional Services
279,Cloud Training,Multiple,611420,Computer Training,10000000,35000000,Small Business,Low,Cloud certification training,"AWS Training,Microsoft Learning,Google Cloud",aws-training-sblo@amazon.com,Contact agency cloud offices,Ongoing,Professional Services
280,Data Science Training,Multiple,611420,Computer Training,10000000,35000000,Small Business,Low,Data science curriculum,"DataCamp,Coursera for Business,Udacity",partner@datacamp.com,Contact agency data offices,Ongoing,Professional Services
281,AI/ML Training,Multiple,611420,Computer Training,15000000,45000000,Small Business,Low,AI/ML training expertise,"Fast.ai,DeepLearning.ai partners,Coursera",partner@coursera.org,Contact agency AI offices,Ongoing,Professional Services
282,Agile Training,Multiple,611430,Professional Training,10000000,30000000,Small Business,Low,Agile certification training,"Scrum Alliance,SAFe partners,ICAgile",partner@scrumalliance.org,Contact agency agile coaches,Ongoing,Professional Services
283,DevOps Training,Multiple,611420,Computer Training,10000000,35000000,Small Business,Low,DevOps certification training,"Linux Foundation,CloudBees,Docker",supplierdiversity@linuxfoundation.org,Contact agency DevOps,Ongoing,Professional Services
284,Zero Trust Training,Multiple,611420,Computer Training,10000000,30000000,Small Business,Low,Zero trust curriculum limited,"SANS,Forrester,Gartner",partner@sans.org,Contact agency CISO,Ongoing,Professional Services
285,Facility Security Officer,Multiple,561612,Security Services,10000000,30000000,Small Business,Low,FSO services limited,"CACI,ManTech,cleared FSO providers",smallbusiness@caci.com,Contact DCSA,Ongoing,Security
286,COMSEC Management,Multiple,561621,Security Services,10000000,30000000,Small Business,Low,COMSEC expertise limited,"GDIT,L3Harris,General Dynamics",smallbusiness@gdit.com,Contact NSA COMSEC,Ongoing,Security
287,Classified Destruction,Multiple,562119,Waste Management,5000000,15000000,Small Business,Low,Classified destruction certs,"Iron Mountain,Shred-it,Cintas",supplierdiversity@ironmountain.com,Contact agency security,Ongoing,Security
288,Secure Shredding,Multiple,561990,Other Support Services,5000000,15000000,Small Business,Low,Federal shredding certifications,"Iron Mountain,Shred-it,Cintas",supplierdiversity@ironmountain.com,Contact agency facilities,Ongoing,Facilities
289,Document Storage,Multiple,493190,Warehousing,10000000,35000000,Small Business,Low,Federal records storage,"Iron Mountain,Access,Recall",supplierdiversity@ironmountain.com,Contact NARA,Ongoing,Logistics
290,Data Center Services,Multiple,518210,Data Processing,30000000,100000000,Small Business,Low,FedRAMP data center expertise,"Equinix,Digital Realty,CyrusOne",supplierdiversity@equinix.com,Contact agency CIO,Ongoing,IT/Cybersecurity
291,Colocation Services,Multiple,518210,Data Processing,20000000,70000000,Small Business,Low,Federal colo certifications,"QTS,CoreSite,Cyxtera",supplierdiversity@qtsdatacenters.com,Contact agency CIO,Ongoing,IT/Cybersecurity
292,Disaster Recovery,Multiple,518210,Data Processing,15000000,50000000,Small Business,Low,DR/COOP expertise required,"IBM,Sungard AS,Recovery Point",supplierdiversity@ibm.com,Contact agency CIO,Ongoing,IT/Cybersecurity
293,Backup Services,Multiple,518210,Data Processing,10000000,35000000,Small Business,Low,Federal backup certifications,"Commvault,Veeam,Veritas",supplierdiversity@commvault.com,Contact agency CIO,Ongoing,IT/Cybersecurity
294,Email Services,Multiple,518210,Data Processing,15000000,50000000,Small Business,Low,FedRAMP email expertise,"Microsoft,Google,Proofpoint","mspartner@microsoft.com,supplierdiversity@google.com",Contact agency CIO,Ongoing,IT/Cybersecurity
295,Collaboration Tools,Multiple,518210,Data Processing,15000000,50000000,Small Business,Low,FedRAMP collaboration expertise,"Microsoft Teams,Slack Gov,Cisco Webex",mspartner@microsoft.com,Contact agency CIO,Ongoing,IT/Cybersecurity
296,VoIP Services,Multiple,517110,Telecommunications,15000000,50000000,Small Business,Low,Federal VoIP certifications,"Cisco,Avaya,RingCentral",supplierdiversity@cisco.com,Contact agency CIO,Ongoing,IT/Cybersecurity
297,Video Conferencing,Multiple,517110,Telecommunications,10000000,35000000,Small Business,Low,FedRAMP video expertise,"Zoom Gov,Webex,Microsoft Teams",partner@zoom.us,Contact agency CIO,Ongoing,IT/Cybersecurity
298,Contact Center Cloud,Multiple,518210,Data Processing,20000000,70000000,Small Business,Low,CCaaS expertise limited,"Genesys,NICE,Five9",supplierdiversity@genesys.com,Contact agency call centers,Ongoing,IT/Cybersecurity
299,Service Desk Platform,Multiple,518210,Data Processing,15000000,50000000,Small Business,Low,ITSM platform expertise,"ServiceNow,BMC,Ivanti",supplierdiversity@servicenow.com,Contact agency CIO,Ongoing,IT/Cybersecurity
300,Asset Management,Multiple,541512,Computer Systems Design,10000000,35000000,Small Business,Low,ITAM expertise required,"Flexera,Snow Software,ServiceNow",supplierdiversity@flexera.com,Contact agency CIO,Ongoing,IT/Cybersecurity
301,Endpoint Security,Multiple,541512,Computer Systems Design,15000000,50000000,Small Business,Low,EDR expertise with federal certs,"CrowdStrike,Carbon Black,SentinelOne",partner@crowdstrike.com,Contact agency CISO,Ongoing,IT/Cybersecurity
302,SIEM Services,Multiple,541512,Computer Systems Design,15000000,50000000,Small Business,Low,Federal SIEM expertise,"Splunk,IBM QRadar,LogRhythm",supplierdiversity@splunk.com,Contact agency SOC,Ongoing,IT/Cybersecurity
303,Vulnerability Management,Multiple,541512,Computer Systems Design,10000000,35000000,Small Business,Low,Federal vulnerability scanning,"Tenable,Qualys,Rapid7",partner@tenable.io,Contact agency CISO,Ongoing,IT/Cybersecurity
304,Patch Management,Multiple,541512,Computer Systems Design,10000000,30000000,Small Business,Low,Federal patching expertise,"Microsoft,Tanium,BigFix",mspartner@microsoft.com,Contact agency CIO,Ongoing,IT/Cybersecurity
305,Mobile Device Management,Multiple,541512,Computer Systems Design,10000000,35000000,Small Business,Low,Federal MDM certifications,"VMware,Microsoft,MobileIron",supplierdiversity@vmware.com,Contact agency mobility,Ongoing,IT/Cybersecurity
306,Application Security,Multiple,541512,Computer Systems Design,10000000,35000000,Small Business,Low,AppSec expertise limited,"Checkmarx,Veracode,Synopsys",supplierdiversity@checkmarx.com,Contact agency AppSec,Ongoing,IT/Cybersecurity
307,Container Security,Multiple,541512,Computer Systems Design,10000000,30000000,Small Business,Low,Container security expertise,"Aqua,Twistlock/Prisma,Sysdig",partner@aquasec.com,Contact agency DevSecOps,Ongoing,IT/Cybersecurity
308,API Security,Multiple,541512,Computer Systems Design,10000000,30000000,Small Business,Low,API security expertise limited,"Salt Security,42Crunch,Noname",partner@salt.security,Contact agency API teams,Ongoing,IT/Cybersecurity
309,DLP Solutions,Multiple,541512,Computer Systems Design,10000000,35000000,Small Business,Low,Federal DLP expertise,"Symantec,Digital Guardian,Forcepoint",supplierdiversity@broadcom.com,Contact agency CISO,Ongoing,IT/Cybersecurity
310,Email Security,Multiple,541512,Computer Systems Design,10000000,35000000,Small Business,Low,Federal email security,"Proofpoint,Mimecast,Microsoft",supplierdiversity@proofpoint.com,Contact agency CIO,Ongoing,IT/Cybersecurity
311,Web Security,Multiple,541512,Computer Systems Design,10000000,35000000,Small Business,Low,Federal web security expertise,"Zscaler,Palo Alto,Cloudflare",supplierdiversity@zscaler.com,Contact agency CIO,Ongoing,IT/Cybersecurity
312,DNS Security,Multiple,541512,Computer Systems Design,5000000,20000000,Small Business,Low,Protective DNS expertise,"Cisco Umbrella,Akamai,Infoblox",supplierdiversity@cisco.com,Contact CISA,Ongoing,IT/Cybersecurity
313,Firewall Services,Multiple,541512,Computer Systems Design,15000000,50000000,Small Business,Low,Federal firewall expertise,"Palo Alto,Fortinet,Cisco",supplierdiversity@paloaltonetworks.com,Contact agency CIO,Ongoing,IT/Cybersecurity
314,SD-WAN Services,Multiple,517110,Telecommunications,15000000,50000000,Small Business,Low,Federal SD-WAN expertise,"Cisco,VMware,Fortinet",supplierdiversity@cisco.com,Contact agency network,Ongoing,IT/Cybersecurity
315,Network Monitoring,Multiple,541512,Computer Systems Design,10000000,35000000,Small Business,Low,Federal NMS expertise,"SolarWinds,Nagios,PRTG",supplierdiversity@solarwinds.com,Contact agency NOC,Ongoing,IT/Cybersecurity
316,Load Balancing,Multiple,541512,Computer Systems Design,10000000,30000000,Small Business,Low,Federal ADC expertise,"F5,Citrix,A10",supplierdiversity@f5.com,Contact agency CIO,Ongoing,IT/Cybersecurity
317,CDN Services,Multiple,518210,Data Processing,10000000,35000000,Small Business,Low,Federal CDN expertise,"Akamai,Cloudflare,AWS CloudFront",supplierdiversity@akamai.com,Contact agency CIO,Ongoing,IT/Cybersecurity
318,WAF Services,Multiple,541512,Computer Systems Design,10000000,30000000,Small Business,Low,Federal WAF expertise,"Cloudflare,Akamai,AWS WAF",supplierdiversity@cloudflare.com,Contact agency CISO,Ongoing,IT/Cybersecurity
319,Bot Management,Multiple,541512,Computer Systems Design,5000000,20000000,Small Business,Low,Bot mitigation expertise,"PerimeterX,Akamai,Cloudflare",partner@perimeterx.com,Contact agency CISO,Ongoing,IT/Cybersecurity
320,DDoS Protection,Multiple,541512,Computer Systems Design,10000000,35000000,Small Business,Low,DDoS mitigation expertise,"Cloudflare,Akamai,AWS Shield",supplierdiversity@cloudflare.com,Contact agency CISO,Ongoing,IT/Cybersecurity
321,Database Administration,Multiple,541512,Computer Systems Design,15000000,50000000,Small Business,Low,Federal DBA expertise,"Oracle,Microsoft,AWS",supplierdiversity@oracle.com,Contact agency CIO,Ongoing,IT/Cybersecurity
322,Database Security,Multiple,541512,Computer Systems Design,10000000,35000000,Small Business,Low,Database security expertise,"Imperva,IBM Guardium,Oracle",supplierdiversity@imperva.com,Contact agency CISO,Ongoing,IT/Cybersecurity
323,Data Warehouse,Multiple,541512,Computer Systems Design,20000000,70000000,Small Business,Low,Federal DW expertise,"Snowflake,AWS Redshift,Google BigQuery",supplierdiversity@snowflake.com,Contact agency data,Ongoing,IT/Cybersecurity
324,ETL Services,Multiple,541512,Computer Systems Design,15000000,45000000,Small Business,Low,Federal ETL expertise,"Informatica,Talend,Matillion",supplierdiversity@informatica.com,Contact agency data,Ongoing,IT/Cybersecurity
325,Master Data Management,Multiple,541512,Computer Systems Design,15000000,45000000,Small Business,Low,Federal MDM expertise,"Informatica,IBM,Reltio",supplierdiversity@informatica.com,Contact agency data,Ongoing,IT/Cybersecurity
326,Business Intelligence,Multiple,541512,Computer Systems Design,15000000,50000000,Small Business,Low,Federal BI expertise,"Tableau,Power BI,Qlik",supplierdiversity@tableau.com,Contact agency analytics,Ongoing,IT/Cybersecurity
327,Data Visualization,Multiple,541512,Computer Systems Design,10000000,35000000,Small Business,Low,Federal viz expertise,"Tableau,Power BI,Looker",supplierdiversity@tableau.com,Contact agency analytics,Ongoing,IT/Cybersecurity
328,Predictive Analytics,Multiple,541512,Computer Systems Design,15000000,50000000,Small Business,Low,Federal predictive expertise,"SAS,IBM SPSS,Palantir",supplierdiversity@sas.com,Contact agency data science,Ongoing,IT/Cybersecurity
329,Machine Learning Ops,Multiple,541512,Computer Systems Design,15000000,50000000,Small Business,Low,MLOps expertise limited,"Databricks,AWS SageMaker,Google Vertex",supplierdiversity@databricks.com,Contact agency AI,Ongoing,IT/Cybersecurity
330,Natural Language Processing,Multiple,541512,Computer Systems Design,15000000,45000000,Small Business,Low,Federal NLP expertise,"AWS Comprehend,Google NLP,IBM Watson",supplierdiversity@ibm.com,Contact agency AI,Ongoing,IT/Cybersecurity
331,Computer Vision,Multiple,541512,Computer Systems Design,15000000,50000000,Small Business,Low,Federal CV expertise limited,"AWS Rekognition,Google Vision,Azure CV",aws-publicsector-sblo@amazon.com,Contact agency AI,Ongoing,IT/Cybersecurity
332,Robotic Process Automation,Multiple,541512,Computer Systems Design,15000000,50000000,Small Business,Low,Federal RPA expertise,"UiPath,Automation Anywhere,Blue Prism",supplierdiversity@uipath.com,Contact agency process,Ongoing,IT/Cybersecurity
333,Low Code Platforms,Multiple,541512,Computer Systems Design,15000000,50000000,Small Business,Low,Federal low code expertise,"ServiceNow,Salesforce,Microsoft",supplierdiversity@servicenow.com,Contact agency CIO,Ongoing,IT/Cybersecurity
334,CRM Systems,Multiple,541512,Computer Systems Design,20000000,70000000,Small Business,Low,Federal CRM expertise,"Salesforce,Microsoft Dynamics,ServiceNow",supplierdiversity@salesforce.com,Contact agency CX,Ongoing,IT/Cybersecurity
335,ERP Systems,Multiple,541512,Computer Systems Design,30000000,100000000,Small Business,Low,Federal ERP expertise,"SAP,Oracle,Workday",supplierdiversity@sap.com,Contact agency CFO,Ongoing,IT/Cybersecurity
336,Financial Management,Multiple,541512,Computer Systems Design,25000000,80000000,Small Business,Low,Federal FM expertise,"SAP,Oracle,CGI Momentum",supplierdiversity@sap.com,Contact agency CFO,Ongoing,IT/Cybersecurity
337,Grants Management,Multiple,541512,Computer Systems Design,20000000,60000000,Small Business,Low,Federal grants expertise,"Salesforce,GrantSolutions,Fluxx",supplierdiversity@salesforce.com,Contact agency grants,Ongoing,IT/Cybersecurity
338,Acquisition Systems,Multiple,541512,Computer Systems Design,20000000,65000000,Small Business,Low,Federal procurement expertise,"SAP Ariba,Unison,CGI",supplierdiversity@sap.com,Contact agency procurement,Ongoing,IT/Cybersecurity
339,HR Management Systems,OPM,541512,Computer Systems Design,25000000,80000000,Small Business,Low,Federal HRIS expertise,"Workday,SAP SuccessFactors,Oracle HCM",supplierdiversity@workday.com,Contact OPM HRIT,Ongoing,IT/Cybersecurity
340,Payroll Systems,Multiple,541512,Computer Systems Design,20000000,60000000,Small Business,Low,Federal payroll expertise,"ADP,Ceridian,NFC",supplierdiversity@adp.com,Contact agency HR,Ongoing,IT/Cybersecurity
341,Time & Attendance,Multiple,541512,Computer Systems Design,10000000,35000000,Small Business,Low,Federal T&A expertise,"Kronos/UKG,ADP,Deltek",supplierdiversity@ukg.com,Contact agency HR,Ongoing,IT/Cybersecurity
342,Learning Management,Multiple,541512,Computer Systems Design,15000000,45000000,Small Business,Low,Federal LMS expertise,"Cornerstone,SAP Litmos,Blackboard",supplierdiversity@csod.com,Contact agency training,Ongoing,IT/Cybersecurity
343,Performance Management,Multiple,541512,Computer Systems Design,10000000,35000000,Small Business,Low,Federal PM systems expertise,"Workday,SAP SuccessFactors,Oracle",supplierdiversity@workday.com,Contact agency HR,Ongoing,IT/Cybersecurity
344,Recruitment Systems,Multiple,541512,Computer Systems Design,10000000,35000000,Small Business,Low,Federal ATS expertise,"Monster Gov,USA Staffing,Workday",supplierdiversity@monster.com,Contact OPM,Ongoing,IT/Cybersecurity
345,Case Management,Multiple,541512,Computer Systems Design,20000000,65000000,Small Business,Low,Federal case management,"Salesforce,Appian,Pegasystems",supplierdiversity@salesforce.com,Contact agency operations,Ongoing,IT/Cybersecurity
346,Workflow Automation,Multiple,541512,Computer Systems Design,15000000,50000000,Small Business,Low,Federal workflow expertise,"ServiceNow,Appian,Microsoft Power",supplierdiversity@servicenow.com,Contact agency process,Ongoing,IT/Cybersecurity
347,Document Management,Multiple,541512,Computer Systems Design,15000000,45000000,Small Business,Low,Federal EDMS expertise,"OpenText,Hyland,Adobe",supplierdiversity@opentext.com,Contact agency records,Ongoing,IT/Cybersecurity
348,Content Management,Multiple,541512,Computer Systems Design,15000000,50000000,Small Business,Low,Federal CMS expertise,"Adobe,Drupal Gov,WordPress VIP",supplierdiversity@adobe.com,Contact agency web,Ongoing,IT/Cybersecurity
349,Portal Development,Multiple,541512,Computer Systems Design,15000000,50000000,Small Business,Low,Federal portal expertise,"Liferay,Salesforce,Microsoft SharePoint",supplierdiversity@liferay.com,Contact agency digital,Ongoing,IT/Cybersecurity
350,Forms Management,Multiple,541512,Computer Systems Design,10000000,30000000,Small Business,Low,Federal forms expertise,"Adobe,Microsoft Forms,DocuSign",supplierdiversity@adobe.com,Contact agency process,Ongoing,IT/Cybersecurity
351,E-Signature,Multiple,541512,Computer Systems Design,10000000,30000000,Small Business,Low,Federal e-sign expertise,"DocuSign,Adobe Sign,OneSpan",supplierdiversity@docusign.com,Contact agency digital,Ongoing,IT/Cybersecurity
352,Digital Experience,Multiple,541512,Computer Systems Design,20000000,65000000,Small Business,Low,Federal DXP expertise,"Adobe,Sitecore,Acquia",supplierdiversity@adobe.com,Contact agency CX,Ongoing,IT/Cybersecurity
353,Customer Experience,Multiple,541611,Management Consulting,15000000,50000000,Small Business,Low,Federal CX expertise,"Deloitte,Accenture Federal,McKinsey",supplierdiversity@deloitte.com,Contact agency CX,Ongoing,Professional Services
354,User Experience Design,Multiple,541430,Graphic Design Services,10000000,35000000,Small Business,Low,Federal UX expertise,"IDEO,Frog,Deloitte Digital",supplierdiversity@ideo.com,Contact agency digital,Ongoing,Professional Services
355,Accessibility Services,Multiple,541512,Computer Systems Design,10000000,30000000,Small Business,Low,Section 508 expertise,"Deque,Level Access,TPGi",partner@deque.com,Contact agency 508 PM,Ongoing,IT/Cybersecurity
356,Mobile App Development,Multiple,541511,Custom Computer Programming,15000000,50000000,Small Business,Low,Federal mobile expertise,"Accenture Federal,Deloitte,GDIT",supplierdiversity@accenture.com,Contact agency mobile,Ongoing,IT/Cybersecurity
357,Web Development,Multiple,541511,Custom Computer Programming,15000000,50000000,Small Business,Low,Federal web dev expertise,"Accenture Federal,Deloitte,ICF",supplierdiversity@accenture.com,Contact agency web,Ongoing,IT/Cybersecurity
358,API Development,Multiple,541511,Custom Computer Programming,15000000,45000000,Small Business,Low,Federal API expertise,"MuleSoft,Apigee,Kong",supplierdiversity@mulesoft.com,Contact agency API,Ongoing,IT/Cybersecurity
359,Microservices,Multiple,541511,Custom Computer Programming,15000000,50000000,Small Business,Low,Federal microservices expertise,"AWS,Google Cloud,Azure",aws-publicsector-sblo@amazon.com,Contact agency cloud,Ongoing,IT/Cybersecurity
360,Serverless Computing,Multiple,541511,Custom Computer Programming,10000000,35000000,Small Business,Low,Federal serverless expertise,"AWS Lambda,Azure Functions,Google Cloud",aws-publicsector-sblo@amazon.com,Contact agency cloud,Ongoing,IT/Cybersecurity
361,Kubernetes Services,Multiple,541511,Custom Computer Programming,15000000,50000000,Small Business,Low,Federal K8s expertise,"Red Hat,VMware Tanzu,Rancher",supplierdiversity@redhat.com,Contact agency platform,Ongoing,IT/Cybersecurity
362,Platform Engineering,Multiple,541511,Custom Computer Programming,20000000,65000000,Small Business,Low,Federal platform expertise,"Accenture Federal,Booz Allen Hamilton,GDIT",supplierdiversity@accenture.com,Contact agency CTO,Ongoing,IT/Cybersecurity
363,Site Reliability,Multiple,541511,Custom Computer Programming,15000000,45000000,Small Business,Low,Federal SRE expertise,"Google SRE model practitioners",Contact agency CTO,SRE experience required,Ongoing,IT/Cybersecurity
364,Quality Assurance,Multiple,541512,Computer Systems Design,10000000,35000000,Small Business,Low,Federal QA expertise,"Accenture Federal,Cognizant,Infosys",supplierdiversity@accenture.com,Contact agency QA,Ongoing,IT/Cybersecurity
365,Test Automation,Multiple,541512,Computer Systems Design,10000000,35000000,Small Business,Low,Federal test automation,"Tricentis,Selenium experts,Katalon",supplierdiversity@tricentis.com,Contact agency QA,Ongoing,IT/Cybersecurity
366,Performance Testing,Multiple,541512,Computer Systems Design,5000000,20000000,Small Business,Low,Federal perf testing expertise,"Micro Focus,NeoLoad,Gatling",supplierdiversity@microfocus.com,Contact agency QA,Ongoing,IT/Cybersecurity
367,Security Testing,Multiple,541512,Computer Systems Design,10000000,35000000,Small Business,Low,Federal security testing,"Synopsys,Veracode,Checkmarx",supplierdiversity@synopsys.com,Contact agency CISO,Ongoing,IT/Cybersecurity
368,IV&V Services,Multiple,541512,Computer Systems Design,20000000,65000000,Small Business,Low,Federal IV&V expertise,"MITRE,Aerospace Corp,SAIC",smallbusiness@saic.com,Contact agency PMO,Ongoing,IT/Cybersecurity
